code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,symbol
SZ.300662,N/A,2023-11-30 00:00:00,31.81,32.83,32.99,31.62,28.747,0.01364,2684583,87528084.21,1.8932340161390424,32.22,SZ.300662
SZ.300662,N/A,2023-12-01 00:00:00,32.6,32.91,33.27,32.28,28.817,0.01056,2079183,67983512.99,0.24367956137678431,32.83,SZ.300662
SZ.300662,N/A,2023-12-04 00:00:00,32.95,32.6,32.95,31.95,28.546,0.00728,1432800,46354955.0,-0.9419629292008362,32.91,SZ.300662
SZ.300662,N/A,2023-12-05 00:00:00,32.55,32.52,32.87,32.2,28.476,0.00503,989424,32203682.27,-0.24539877300612972,32.6,SZ.300662
SZ.300662,N/A,2023-12-06 00:00:00,32.13,32.5,32.59,31.95,28.458,0.00512,1008500,32594089.0,-0.06150061500615967,32.52,SZ.300662
SZ.300662,N/A,2023-12-07 00:00:00,32.37,32.03,32.59,31.81,28.047,0.00526,1034292,33154736.64,-1.4461538461538426,32.5,SZ.300662
SZ.300662,N/A,2023-12-08 00:00:00,32.34,32.35,32.54,31.77,28.327,0.00605,1191400,38481759.0,0.999063378083048,32.03,SZ.300662
HK.01024,N/A,2023-08-30 00:00:00,69.3,64.95,69.6,64.45,0.0,0.0093,40491475,2681859511.0,-5.389657683903864,68.65,HK.01024
HK.01024,N/A,2023-08-31 00:00:00,65.8,64.2,66.4,63.8,0.0,0.00626,27263500,1764737845.0,-1.1547344110854503,64.95,HK.01024
HK.01024,N/A,2023-09-04 00:00:00,66.05,65.5,66.95,64.85,0.0,0.00849,36964735,2426400352.0,2.024922118380058,64.2,HK.01024
HK.01024,N/A,2023-09-05 00:00:00,65.1,65.0,65.9,64.6,0.0,0.00365,15876722,1035050017.0,-0.7633587786259541,65.5,HK.01024
HK.01024,N/A,2023-09-06 00:00:00,64.4,65.65,65.95,64.2,0.0,0.00416,18140835,1182265475.0,1.0000000000000087,65.0,HK.01024
HK.01024,N/A,2023-09-07 00:00:00,65.5,64.3,65.5,63.85,0.0,0.00275,11964159,772507252.0,-2.0563594821020694,65.65,HK.01024
HK.01024,N/A,2023-09-11 00:00:00,62.25,65.0,65.6,61.7,0.0,0.00487,21216283,1356739580.0,1.0886469673405956,64.3,HK.01024
HK.01024,N/A,2023-09-12 00:00:00,64.25,64.5,65.45,63.85,0.0,0.00218,9480935,613251778.0,-0.7692307692307693,65.0,HK.01024
HK.01024,N/A,2023-09-13 00:00:00,64.9,64.3,65.3,63.65,0.0,0.00222,9692343,624104484.0,-0.3100775193798494,64.5,HK.01024
HK.01024,N/A,2023-09-14 00:00:00,64.8,64.9,65.1,64.05,0.0,0.00175,7601768,491854046.0,0.9331259720062342,64.3,HK.01024
HK.01024,N/A,2023-09-15 00:00:00,65.65,65.15,65.75,63.75,0.0,0.00421,18336686,1193840159.0,0.38520801232665636,64.9,HK.01024
HK.01024,N/A,2023-09-18 00:00:00,64.15,63.7,64.95,63.5,0.0,0.00264,11506747,737376162.0,-2.225633154259406,65.15,HK.01024
HK.01024,N/A,2023-09-19 00:00:00,63.75,63.6,63.95,62.5,0.0,0.00274,11919251,754086145.0,-0.15698587127158778,63.7,HK.01024
HK.01024,N/A,2023-09-20 00:00:00,63.6,61.9,63.6,60.85,0.0,0.00461,20104436,1241304358.0,-2.6729559748427714,63.6,HK.01024
HK.01024,N/A,2023-09-21 00:00:00,60.85,60.4,60.85,59.4,0.0,0.00445,19381159,1163017940.0,-2.4232633279483036,61.9,HK.01024
HK.01024,N/A,2023-09-22 00:00:00,60.1,63.5,63.85,60.05,0.0,0.00495,21549317,1356322571.0,5.13245033112583,60.4,HK.01024
HK.01024,N/A,2023-09-25 00:00:00,63.5,61.85,63.5,61.6,0.0,0.00249,10853752,673712903.0,-2.5984251968503917,63.5,HK.01024
HK.01024,N/A,2023-09-26 00:00:00,61.9,61.0,61.9,60.35,0.0,0.00389,16951340,1032750765.0,-1.3742926434923224,61.85,HK.01024
HK.01024,N/A,2023-09-27 00:00:00,61.3,62.1,63.2,61.25,0.0,0.00279,12169352,759674968.0,1.8032786885245924,61.0,HK.01024
HK.01024,N/A,2023-09-28 00:00:00,62.05,62.05,62.6,61.35,0.0,0.00266,11583103,717777647.0,-0.08051529790660912,62.1,HK.01024
HK.01024,N/A,2023-09-29 00:00:00,62.85,62.85,63.6,61.85,0.0,0.00175,7633954,480676376.0,1.289282836422247,62.05,HK.01024
HK.01024,N/A,2023-10-03 00:00:00,61.85,62.6,62.85,61.05,0.0,0.0015,6522399,405783441.0,-0.3977724741447892,62.85,HK.01024
HK.01024,N/A,2023-10-04 00:00:00,62.6,61.25,62.6,61.1,0.0,0.00107,4654460,285820233.0,-2.1565495207667755,62.6,HK.01024
HK.01024,N/A,2023-10-05 00:00:00,61.4,60.85,62.05,60.85,0.0,0.00112,4873185,298527633.0,-0.6530612244897936,61.25,HK.01024
HK.01024,N/A,2023-10-06 00:00:00,62.0,61.9,62.4,61.15,0.0,0.00103,4465494,276695070.0,1.7255546425636765,60.85,HK.01024
